iteration,ssim_to_original,ssim_to_previous
1,0.3518127881898784,0.3518127881898784
2,0.37347748368567724,0.8026994498130743
3,0.369866440862757,0.8349223330451654
4,0.364186570920735,0.8480190570961659
5,0.3624505443277614,0.8664265501974011
6,0.34275061790815264,0.8654722846113898
7,0.33728045646615884,0.8716297921807065
8,0.3316234864010852,0.8685500215662973
9,0.3285712856020872,0.8414828970441584
10,0.3236581409075428,0.8504022098105225
11,0.32091368379939866,0.8436345050597326
12,0.3312437488102264,0.8443886210626271
13,0.3225747579805727,0.8664521858669731
14,0.3198217652040629,0.8625365398871552
15,0.320262852617357,0.8685626566029692
16,0.3228272783280995,0.8522810688665033
17,0.3207895180568508,0.8442599755545261
18,0.31587422072213833,0.8565421192595168
19,0.3169368719786193,0.8057165774644409
20,0.32092494768564805,0.8410952233767053
21,0.32494360806169664,0.849333290268
22,0.3207639510100856,0.8594094339375097
23,0.3227041722791921,0.8580049211686606
24,0.322144546810875,0.8610215813590932
25,0.32295559593652723,0.8599798304246813
26,0.32433517610118473,0.8611927905316406
27,0.32810991382768,0.8625076105540287
28,0.3301383311997489,0.8758645587050382
29,0.3309814053334443,0.878020934395895
30,0.3374237477379149,0.881245707562228
31,0.3400880531473689,0.8782837888286009
32,0.3420077400580429,0.8755452069700892
33,0.35080231127497113,0.890496285358857
34,0.35331758740865443,0.8860515821789902
35,0.35338540763889725,0.8851428710202025
36,0.3499454864821951,0.8819227475397873
37,0.3455109360308001,0.8905669216666465
38,0.3447629155294923,0.9048785481640241
39,0.34462990276036415,0.8947500151303681
40,0.3441764481721105,0.8847888267438131
41,0.34317319626872506,0.8947450040160378
42,0.34570202649042775,0.8909584207745651
43,0.3394684917308451,0.902551872934291
44,0.33845267348671415,0.9072713926422049
45,0.3447683837331269,0.8940624267286502
46,0.3490837689902165,0.9072037634269641
47,0.349615804410249,0.9038518110745264
48,0.35429323077501595,0.9038456773298001
49,0.35853530404471773,0.9086510177359978
50,0.3483141187504056,0.8888114279124361
51,0.345435867925199,0.8978852548472015
52,0.34400435924793915,0.913986987011353
53,0.35203580470121465,0.9007871612791907
54,0.35124790887833796,0.8841893890715102
55,0.34242982830474966,0.8840917894978543
56,0.3409290360708874,0.8710067543026266
57,0.3451546013281596,0.8788301127494832
58,0.34885936858124134,0.8996091373007049
59,0.3537067025075023,0.9025248308810871
60,0.3511251404068636,0.8901208279690741
61,0.350413058354596,0.8886130550972295
62,0.3491517037739525,0.8842151238307294
63,0.3480512260397913,0.8883286200935256
64,0.34694463838688283,0.8931069006854753
65,0.35220686853134536,0.8699244042630585
66,0.3514875875538692,0.8724353984085531
67,0.35456698189795655,0.8930434014685281
68,0.35013602401749416,0.9045097275885317
69,0.35022793105816474,0.8827732715357187
70,0.35343762738895546,0.8711096584348519
71,0.3548865665045574,0.8865983723668851
72,0.3524383798230581,0.896003362799243
73,0.3524227866831771,0.8866570878312948
74,0.34907148202523336,0.9119484664701879
75,0.3502069462594824,0.9030345242022726
76,0.3461514691526852,0.8964904590854968
77,0.3478796993846006,0.8871615255516384
78,0.3502432781338868,0.9090560695131568
79,0.3505148704095042,0.9097466886712479
80,0.35366856911512057,0.8984824393914773
81,0.3484102709522835,0.9051802075430486
82,0.34558550366565494,0.897884520744735
83,0.34529376421683733,0.9020682861161948
84,0.34150326955155785,0.8999682639034207
85,0.34675197894496285,0.9002764241624615
86,0.34687217602447246,0.8927425925365395
87,0.34655053924720003,0.9082498130745001
88,0.34864346212621056,0.8878940313919949
89,0.35079390086231915,0.9055582957563582
90,0.3544894920519729,0.9046317404498598
91,0.353548902953368,0.9185362571842741
92,0.35550951555829663,0.9078498249040884
93,0.35916440636565483,0.915581920366726
94,0.357114026145184,0.9106425917065752
95,0.3593019008692981,0.8982017437190278
96,0.3614818942550869,0.9204833307933186
97,0.36509084419315685,0.8937675114809115
98,0.36636653688964876,0.9195078829526979
99,0.3645062119645265,0.8979831806538717
100,0.3595482144643698,0.8984850700790468
101,0.35626893331870474,0.9082238855246264
