iteration,ssim_to_original,ssim_to_previous,ssci
1,0.3518127881898784,0.3518127881898784,1.0
2,0.3734774836856772,0.8026994498130743,2.1492579469359256
3,0.369866440862757,0.8349223330451654,2.2573616873637166
4,0.364186570920735,0.8480190570961659,2.328529179294579
5,0.3624505443277614,0.8664265501974011,2.39046833769933
6,0.3427506179081526,0.8654722846113898,2.5250786997656465
7,0.3372804564661588,0.8716297921807065,2.584287869250325
8,0.3316234864010852,0.8685500215662973,2.6190847668606354
9,0.3285712856020872,0.8414828970441584,2.5610360184158862
10,0.3236581409075428,0.8504022098105225,2.6274704767999366
11,0.3209136837993986,0.8436345050597326,2.6288517680881562
12,0.3312437488102264,0.8443886210626271,2.549145830209728
13,0.3225747579805727,0.8664521858669731,2.6860507973136443
14,0.3198217652040629,0.8625365398871552,2.6969288326478096
15,0.320262852617357,0.8685626566029692,2.712030600816226
16,0.3228272783280995,0.8522810688665033,2.640052827259236
17,0.3207895180568508,0.8442599755545261,2.6318190839543116
18,0.3158742207221383,0.8565421192595168,2.7116556625017596
19,0.3169368719786193,0.8057165774644409,2.5421989320283154
20,0.320924947685648,0.8410952233767053,2.6208471153217228
21,0.3249436080616966,0.849333290268,2.613786728516716
22,0.3207639510100856,0.8594094339375097,2.6792581623690244
23,0.3227041722791921,0.8580049211686606,2.658797111635561
24,0.322144546810875,0.8610215813590932,2.672780246888931
25,0.3229555959365272,0.8599798304246813,2.662842326453137
26,0.3243351761011847,0.8611927905316406,2.6552555935621656
27,0.32810991382768,0.8625076105540287,2.6287154828458155
28,0.3301383311997489,0.8758645587050382,2.6530229177632205
29,0.3309814053334443,0.878020934395895,2.652780247613429
30,0.3374237477379149,0.881245707562228,2.6116884584149442
31,0.3400880531473689,0.8782837888286009,2.582518793884294
32,0.3420077400580429,0.8755452069700892,2.5600157669574917
33,0.3508023112749711,0.890496285358857,2.538456152476302
34,0.3533175874086544,0.8860515821789902,2.507804914772512
35,0.3533854076388972,0.8851428710202025,2.50475218242366
36,0.3499454864821951,0.8819227475397873,2.5201718027720834
37,0.3455109360308001,0.8905669216666465,2.5775361321334795
38,0.3447629155294923,0.904878548164024,2.6246400276964166
39,0.3446299027603641,0.8947500151303681,2.5962634349594618
40,0.3441764481721105,0.8847888267438131,2.5707419303175603
41,0.343173196268725,0.8947450040160378,2.607269488830938
42,0.3457020264904277,0.8909584207745651,2.5772438473085875
43,0.3394684917308451,0.902551872934291,2.658720602705887
44,0.3384526734867141,0.9072713926422048,2.6806447805406965
45,0.3447683837331269,0.8940624267286502,2.5932262612012376
46,0.3490837689902165,0.907203763426964,2.598813935266035
47,0.349615804410249,0.9038518110745264,2.585271602921936
48,0.3542932307750159,0.9038456773298,2.5511231906763756
49,0.3585353040447177,0.9086510177359978,2.5343418276674585
50,0.3483141187504056,0.8888114279124361,2.5517525132230983
51,0.345435867925199,0.8978852548472015,2.5992820613568433
52,0.3440043592479391,0.913986987011353,2.656905246809975
53,0.3520358047012146,0.9007871612791908,2.558794160280717
54,0.3512479088783379,0.8841893890715102,2.5172801509197535
55,0.3424298283047496,0.8840917894978543,2.581818861618112
56,0.3409290360708874,0.8710067543026266,2.554803675101241
57,0.3451546013281596,0.8788301127494832,2.546192660818465
58,0.3488593685812413,0.8996091373007049,2.5787157184835836
59,0.3537067025075023,0.9025248308810871,2.5516192497425014
60,0.3511251404068636,0.8901208279690741,2.535052964130262
61,0.350413058354596,0.8886130550972295,2.5359016563760846
62,0.3491517037739525,0.8842151238307294,2.5324668740645393
63,0.3480512260397913,0.8883286200935256,2.5522927478266277
64,0.3469446383868828,0.8931069006854753,2.5742058007812743
65,0.3522068685313453,0.8699244042630585,2.4699245869069073
66,0.3514875875538692,0.8724353984085531,2.4821229235437596
67,0.3545669818979565,0.8930434014685281,2.5186874330152484
68,0.3501360240174941,0.9045097275885317,2.5833095298510016
69,0.3502279310581647,0.8827732715357187,2.520567873808759
70,0.3534376273889554,0.8711096584348519,2.4646771903439766
71,0.3548865665045574,0.8865983723668851,2.498258474811837
72,0.3524383798230581,0.896003362799243,2.5422979280777596
73,0.3524227866831771,0.8866570878312948,2.515890349134508
74,0.3490714820252333,0.911948466470188,2.612497764581829
75,0.3502069462594824,0.9030345242022726,2.578573994169659
76,0.3461514691526852,0.8964904590854968,2.589879110667766
77,0.3478796993846006,0.8871615255516384,2.550196309589285
78,0.3502432781338868,0.9090560695131568,2.5954989753312376
79,0.3505148704095042,0.909746688671248,2.5954581830106007
80,0.3536685691151205,0.8984824393914773,2.540464485265067
81,0.3484102709522835,0.9051802075430486,2.5980296306104522
82,0.3455855036656549,0.897884520744735,2.598154468925338
83,0.3452937642168373,0.9020682861161948,2.6124661942916374
84,0.3415032695515578,0.8999682639034207,2.6353137558103223
85,0.3467519789449628,0.9002764241624615,2.5963122889786168
86,0.3468721760244724,0.8927425925365395,2.573693291771996
87,0.3465505392472,0.9082498130745,2.6208293169806067
88,0.3486434621262105,0.8878940313919949,2.54671068826919
89,0.3507939008623191,0.9055582957563582,2.581453935003776
90,0.3544894920519729,0.9046317404498598,2.5519282256107854
91,0.353548902953368,0.918536257184274,2.5980458417811185
92,0.3555095155582966,0.9078498249040884,2.5536582993520995
93,0.3591644063656548,0.915581920366726,2.549200043599529
94,0.357114026145184,0.9106425917065752,2.5500051105143524
95,0.3593019008692981,0.8982017437190278,2.4998524682054586
96,0.3614818942550869,0.9204833307933186,2.5464161426125567
97,0.3650908441931568,0.8937675114809115,2.4480688182036423
98,0.3663665368896487,0.919507882952698,2.50980313529469
99,0.3645062119645265,0.8979831806538717,2.4635607053557234
100,0.3595482144643698,0.8984850700790468,2.498927915460651
101,0.3562689333187047,0.9082238855246264,2.549264896785608
